Unnamed: 0,date,heure,minute,seconde,humidité,temperature
454,2019-08-25,18,13,12,55.00,31.81
453,2019-08-25,18,28,13,56.00,32.19
452,2019-08-25,18,43,11,54.00,32.31
451,2019-08-25,18,59,41,53.00,32.06
450,2019-08-25,19,14,21,54.00,32.13
449,2019-08-25,19,29,21,53.00,31.56
448,2019-08-25,19,44,21,56.00,31.19
447,2019-08-25,19,59,22,57.00,30.81
446,2019-08-25,20,14,20,58.00,30.44
445,2019-08-25,20,29,21,59.00,30.06
444,2019-08-25,20,44,24,60.00,29.81
443,2019-08-25,20,59,23,62.00,29.44
442,2019-08-25,21,15,35,63.00,29.13
441,2019-08-25,21,30,35,65.00,28.88
440,2019-08-25,21,45,32,65.00,28.75
439,2019-08-25,22,0,37,67.00,28.5
438,2019-08-25,22,15,32,67.00,28.38
437,2019-08-25,22,30,31,67.00,28.38
436,2019-08-25,22,45,35,68.00,28.38
435,2019-08-25,23,0,32,68.00,28.25
434,2019-08-25,23,15,32,70.00,28.19
433,2019-08-25,23,31,43,70.00,28.19
432,2019-08-25,23,46,40,NAN,28.19
